Date Received,Ref Number,Number of Boxes,Client Name,Status,Country,Days in Stock
6/22/2026,CH2026,13,CLIENT-36CA,Dispatched,Switzerland,
6/22/2026,CH1926,17,CLIENT-E5AD,Dispatched,Switzerland,
6/22/2026,CH2044,11,CLIENT-7602,Dispatched,Switzerland,
6/22/2026,AT3390,11,CLIENT-6EED,Dispatched,Austria,
6/22/2026,CH2024,8,CLIENT-EE74,Dispatched,Switzerland,
6/22/2026,AT3352,12,CLIENT-A7D6,Dispatched,Austria,
6/22/2026,CH2025,12,CLIENT-12E7,Dispatched,Switzerland,
6/22/2026,CH2037,15,CLIENT-A9F8,Dispatched,Switzerland,
6/22/2026,CH2021,11,CLIENT-E0D1,Dispatched,Switzerland,
6/22/2026,AT3401,9,CLIENT-9F58,Dispatched,Austria,
6/22/2026,CH2039,12,CLIENT-7B38,Dispatched,Switzerland,
6/22/2026,CH2027,13,CLIENT-A23F,Dispatched,Switzerland,
6/22/2026,CH2043,8,CLIENT-834B,Dispatched,Switzerland,
6/22/2026,CH2036,10,CLIENT-6C64,Dispatched,Switzerland,
6/22/2026,CH2029,1,CLIENT-D0A4,Dispatched,Switzerland,
6/22/2026,CH2033,2,CLIENT-DF1D,Dispatched,Switzerland,
6/22/2026,CH2040,1,CLIENT-3604,Dispatched,Switzerland,
6/22/2026,CH2011,1,CLIENT-741B,Dispatched,Switzerland,
6/22/2026,CH2031,1,CLIENT-4BFA,Dispatched,Switzerland,
6/24/2026,AT3472,18,CLIENT-5A68,In Warehouse,Austria,8
6/24/2026,AT3421,13,CLIENT-1699,In Warehouse,Austria,8
6/24/2026,AT3414,12,CLIENT-ED60,Dispatched,Austria,
6/24/2026,AT3499,14,CLIENT-23AB,Dispatched,Austria,
6/24/2026,AT3484,14,CLIENT-94E5,Dispatched,Austria,
6/24/2026,AT3319,12,CLIENT-8EE6,In Warehouse,Austria,8
6/24/2026,AT3408,5,CLIENT-A808,In Warehouse,Austria,8
6/24/2026,AT3422,10,CLIENT-A45F,Dispatched,Austria,
6/24/2026,AT3404,12,CLIENT-2978,Dispatched,Austria,
6/24/2026,AT3524,15,CLIENT-14E8,Dispatched,Austria,
6/24/2026,AT3400,9,CLIENT-68EA,In Warehouse,Austria,8
6/24/2026,AT3466,20,CLIENT-E8BF,Dispatched,Austria,
6/24/2026,DE46303,13,CLIENT-554B,Dispatched,Germany,
6/24/2026,AT3476,9,CLIENT-63EE,Dispatched,Austria,
6/26/2026,AT3491,8,CLIENT-25FF,In Warehouse,Austria,6
6/26/2026,AT3485,11,CLIENT-4C9B,Dispatched,Austria,
6/26/2026,AT3493,9,CLIENT-B6C8,In Warehouse,Austria,6
6/26/2026,AT3489,10,CLIENT-3C0F,In Warehouse,Austria,6
6/26/2026,AT3532,9,CLIENT-D5DE,In Warehouse,Austria,6
6/26/2026,AT3537,10,CLIENT-747D,Dispatched,Austria,
6/26/2026,AT3525,12,CLIENT-D58A,In Warehouse,Austria,6
6/26/2026,AT3465,10,CLIENT-2E40,In Warehouse,Austria,6
6/26/2026,AT3526,12,CLIENT-2D95,In Warehouse,Austria,6
6/26/2026,AT3406,16,CLIENT-9E28,In Warehouse,Austria,6
6/26/2026,AT3455,12,CLIENT-941D,In Warehouse,Austria,6
6/26/2026,AT3520,11,CLIENT-3112,Dispatched,Austria,
6/26/2026,AT3413,9,CLIENT-ACC6,Dispatched,Austria,
6/26/2026,AT3480,11,CLIENT-C236,In Warehouse,Austria,6
6/26/2026,AT3492,8,CLIENT-1603,In Warehouse,Austria,6
6/30/2026,AT3624,10,CLIENT-D175,In Warehouse,Austria,2
6/30/2026,AT2817,12,CLIENT-FEEB,In Warehouse,Austria,2
6/30/2026,AT3627,11,CLIENT-9607,In Warehouse,Austria,2
6/30/2026,AT3629,10,CLIENT-5C83,In Warehouse,Austria,2
6/30/2026,AT3625,13,CLIENT-B0A5,In Warehouse,Austria,2
6/30/2026,AT3139,13,CLIENT-B117,In Warehouse,Austria,2
6/30/2026,AT3342,13,CLIENT-2649,In Warehouse,Austria,2
6/30/2026,AT3151,14,CLIENT-8BDA,In Warehouse,Austria,2
6/30/2026,AT3113,13,CLIENT-8AE9,In Warehouse,Austria,2
6/30/2026,AT3152,17,CLIENT-5DE1,In Warehouse,Austria,2
7/1/2026,AT3573,14,CLIENT-F25A,In Warehouse,Austria,1
7/1/2026,AT3575,11,CLIENT-C7C4,In Warehouse,Austria,1
7/1/2026,AT3362,10,CLIENT-5FB6,In Warehouse,Austria,1
7/1/2026,AT3553,10,CLIENT-5F82,In Warehouse,Austria,1
7/1/2026,AT3595,8,CLIENT-8BEC,In Warehouse,Austria,1
7/1/2026,AT3566,10,CLIENT-57FB,In Warehouse,Austria,1
7/1/2026,AT3440,11,CLIENT-313C,In Warehouse,Austria,1
7/1/2026,AT3597,10,CLIENT-59DC,In Warehouse,Austria,1
7/1/2026,AT3557,10,CLIENT-7586,In Warehouse,Austria,1
7/1/2026,AT3555,8,CLIENT-A71E,In Warehouse,Austria,1
7/1/2026,AT3497,8,CLIENT-2E69,In Warehouse,Austria,1
7/1/2026,AT3561,10,CLIENT-D6C1,In Warehouse,Austria,1
7/1/2026,AT3586,8,CLIENT-CFDB,In Warehouse,Austria,1
7/1/2026,AT3548,12,CLIENT-FB55,In Warehouse,Austria,1
7/1/2026,AT3607,3,CLIENT-B311,In Warehouse,Austria,1
7/1/2026,AT3604,2,CLIENT-2293,In Warehouse,Austria,1
7/1/2026,AT3658,1,CLIENT-E8B9,In Warehouse,Austria,1
7/1/2026,AT3633,1,CLIENT-8E64,In Warehouse,Austria,1
7/1/2026,AT3565,1,CLIENT-66F5,In Warehouse,Austria,1
7/1/2026,AT3640,1,CLIENT-523A,In Warehouse,Austria,1
7/1/2026,AT3563,1,CLIENT-3769,In Warehouse,Austria,1
7/1/2026,AT3578,1,CLIENT-A067,In Warehouse,Austria,1
7/1/2026,AT3552,1,CLIENT-DA6E,In Warehouse,Austria,1
7/1/2026,AT3659,1,CLIENT-A0FC,In Warehouse,Austria,1
7/1/2026,AT3510,1,CLIENT-6B25,In Warehouse,Austria,1
7/1/2026,AT3600,1,CLIENT-AA6B,In Warehouse,Austria,1
